event_index,subject_id,group,recording_date,label,onset_sample,onset_time_s,isi_samples
1,S01,High,2026-01-01,1,0,0.0,
2,S01,High,2026-01-01,1,1577,3.0801,1577.0
3,S01,High,2026-01-01,2,3949,7.7129,2372.0
4,S01,High,2026-01-01,2,6067,11.8496,2118.0
5,S01,High,2026-01-01,2,7772,15.1797,1705.0
6,S01,High,2026-01-01,2,9044,17.6641,1272.0
7,S01,High,2026-01-01,2,10810,21.1133,1766.0
8,S01,High,2026-01-01,2,12077,23.5879,1267.0
9,S01,High,2026-01-01,2,14449,28.2207,2372.0
10,S01,High,2026-01-01,2,16339,31.9121,1890.0
11,S01,High,2026-01-01,2,17847,34.8574,1508.0
12,S01,High,2026-01-01,2,20094,39.2461,2247.0
13,S01,High,2026-01-01,1,22248,43.4531,2154.0
14,S01,High,2026-01-01,1,23468,45.8359,1220.0
15,S01,High,2026-01-01,1,25426,49.6602,1958.0
16,S01,High,2026-01-01,2,26886,52.5117,1460.0
17,S01,High,2026-01-01,2,28668,55.9922,1782.0
18,S01,High,2026-01-01,1,30947,60.4434,2279.0
19,S01,High,2026-01-01,2,33125,64.6973,2178.0
20,S01,High,2026-01-01,1,34686,67.7461,1561.0
21,S01,High,2026-01-01,1,35845,70.0098,1159.0
22,S01,High,2026-01-01,1,37172,72.6016,1327.0
23,S01,High,2026-01-01,1,39248,76.6562,2076.0
24,S01,High,2026-01-01,1,40870,79.8242,1622.0
25,S01,High,2026-01-01,2,42152,82.3281,1282.0
26,S01,High,2026-01-01,2,43676,85.3047,1524.0
27,S01,High,2026-01-01,1,45397,88.666,1721.0
28,S01,High,2026-01-01,1,46588,90.9922,1191.0
29,S01,High,2026-01-01,2,47881,93.5176,1293.0
30,S01,High,2026-01-01,2,50248,98.1406,2367.0
31,S01,High,2026-01-01,1,51612,100.8047,1364.0
32,S01,High,2026-01-01,2,53474,104.4414,1862.0
33,S01,High,2026-01-01,2,54618,106.6758,1144.0
34,S01,High,2026-01-01,1,55979,109.334,1361.0
35,S01,High,2026-01-01,1,58335,113.9355,2356.0
36,S01,High,2026-01-01,2,60265,117.7051,1930.0
37,S01,High,2026-01-01,2,62197,121.4785,1932.0
38,S01,High,2026-01-01,1,63351,123.7324,1154.0
39,S01,High,2026-01-01,1,65277,127.4941,1926.0
40,S01,High,2026-01-01,1,66982,130.8242,1705.0
41,S01,High,2026-01-01,1,68130,133.0664,1148.0
42,S01,High,2026-01-01,2,69621,135.9785,1491.0
43,S01,High,2026-01-01,1,70969,138.6113,1348.0
44,S01,High,2026-01-01,1,73017,142.6113,2048.0
45,S01,High,2026-01-01,1,75251,146.9746,2234.0
46,S01,High,2026-01-01,1,77252,150.8828,2001.0
47,S01,High,2026-01-01,1,79181,154.6504,1929.0
48,S01,High,2026-01-01,2,81634,159.4414,2453.0
49,S01,High,2026-01-01,2,83809,163.6895,2175.0
50,S01,High,2026-01-01,2,86264,168.4844,2455.0
51,S01,High,2026-01-01,2,88655,173.1543,2391.0
52,S01,High,2026-01-01,2,90143,176.0605,1488.0
53,S01,High,2026-01-01,2,92433,180.5332,2290.0
54,S01,High,2026-01-01,2,94185,183.9551,1752.0
55,S01,High,2026-01-01,2,95847,187.2012,1662.0
56,S01,High,2026-01-01,2,98088,191.5781,2241.0
57,S01,High,2026-01-01,1,100416,196.125,2328.0
58,S01,High,2026-01-01,1,101863,198.9512,1447.0
59,S01,High,2026-01-01,1,104316,203.7422,2453.0
60,S01,High,2026-01-01,2,105792,206.625,1476.0
61,S01,High,2026-01-01,1,107619,210.1934,1827.0
62,S01,High,2026-01-01,2,110004,214.8516,2385.0
63,S01,High,2026-01-01,2,111442,217.6602,1438.0
64,S01,High,2026-01-01,2,113308,221.3047,1866.0
65,S01,High,2026-01-01,1,114565,223.7598,1257.0
66,S01,High,2026-01-01,2,116523,227.584,1958.0
67,S01,High,2026-01-01,2,118785,232.002,2262.0
68,S01,High,2026-01-01,1,120004,234.3828,1219.0
69,S01,High,2026-01-01,2,121365,237.041,1361.0
70,S01,High,2026-01-01,1,123097,240.4238,1732.0
71,S01,High,2026-01-01,1,124983,244.1074,1886.0
72,S01,High,2026-01-01,2,126621,247.3066,1638.0
73,S01,High,2026-01-01,2,128741,251.4473,2120.0
74,S01,High,2026-01-01,1,130336,254.5625,1595.0
75,S01,High,2026-01-01,1,132248,258.2969,1912.0
76,S01,High,2026-01-01,2,133914,261.5508,1666.0
77,S01,High,2026-01-01,1,135650,264.9414,1736.0
